epoch,f1-score,iou_score,loss,lr,val_f1-score,val_iou_score,val_loss
0,0.7114964723587036,0.7017055153846741,0.9468914866447449,1e-06,0.8651379942893982,0.8624924421310425,0.9835032224655151
1,0.7112972736358643,0.7015179395675659,0.9466797113418579,1e-06,0.8659221529960632,0.8632657527923584,0.9834132194519043
2,0.7127529382705688,0.7029322385787964,0.9465346932411194,1e-06,0.8662666082382202,0.863594114780426,0.9835052490234375
3,0.7118200063705444,0.7020785212516785,0.9468792080879211,1e-06,0.865049421787262,0.8623899817466736,0.9835569262504578
4,0.7112776637077332,0.7014817595481873,0.9464157819747925,1e-06,0.8682920336723328,0.8656457662582397,0.9834800362586975
5,0.7111048698425293,0.701366126537323,0.946186900138855,1e-06,0.8641049265861511,0.8614259362220764,0.9834948778152466
6,0.7097422480583191,0.7000285983085632,0.946807324886322,1e-06,0.8654918074607849,0.8628213405609131,0.983506977558136
7,0.7108239531517029,0.7010541558265686,0.946604311466217,1e-06,0.8632421493530273,0.8605641722679138,0.983484148979187
8,0.7100545763969421,0.7002760767936707,0.9466177225112915,1e-06,0.8647264242172241,0.8620576858520508,0.9834636449813843
9,0.7096390724182129,0.6998560428619385,0.9467244148254395,1e-06,0.8642635345458984,0.8615655303001404,0.9834694862365723
10,0.7087018489837646,0.6988888382911682,0.9467788338661194,1e-06,0.8621768355369568,0.8594924211502075,0.9834445118904114
11,0.7085133194923401,0.6986938714981079,0.9463167190551758,1e-07,0.8646600246429443,0.8619913458824158,0.9834175109863281
